Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
0:19:30,9897873408.00 ,3810893824.00 ,12924506112.00 ,12759924736.00 ,12825047040.00 ,12710313984.00 ,12810027008.00 ,12688429056.00 ,12932952064.00 ,12844265472.00 ,,116204232704.00 
0:19:45,9896697856.00 ,3822489600.00 ,14296309760.00 ,14130073600.00 ,14217973760.00 ,14054592512.00 ,14218309632.00 ,13986271232.00 ,14316187648.00 ,14233784320.00 ,,127172689920.00 
0:20:00,9886633984.00 ,3831984128.00 ,15346130944.00 ,15326027776.00 ,15232606208.00 ,15086043136.00 ,15387729920.00 ,15220813824.00 ,15351635968.00 ,15237541888.00 ,,135907147776.00 
0:20:15,9896980480.00 ,3853299712.00 ,16024358912.00 ,15859331072.00 ,15845490688.00 ,15677005824.00 ,15911890944.00 ,15849512960.00 ,15997431808.00 ,15817375744.00 ,,140732678144.00 
0:20:30,9889718272.00 ,4163207168.00 ,16057987072.00 ,15873605632.00 ,15896129536.00 ,15717289984.00 ,15924523008.00 ,15915429888.00 ,16015532032.00 ,15833530368.00 ,,141286952960.00 
0:20:45,9883320320.00 ,3240525824.00 ,3313348608.00 ,3148529664.00 ,3196944384.00 ,3195310080.00 ,3192098816.00 ,3208871936.00 ,3299889152.00 ,3242872832.00 ,,38921711616.00 
,,,,,,,,,,,,
,9961795584.00 ,4163207168.00 ,16057987072.00 ,15873605632.00 ,15896129536.00 ,15717289984.00 ,15924523008.00 ,15915429888.00 ,16015532032.00 ,15833530368.00 ,,141359030272.00 
,,,,,,,,,,,,
0:21:00,9366945792.00 ,3237384192.00 ,3321077760.00 ,3146719232.00 ,3194724352.00 ,3191152640.00 ,3193724928.00 ,3208282112.00 ,3298578432.00 ,3243925504.00 ,,38402514944.00 
0:21:15,9508671488.00 ,3246383104.00 ,3313360896.00 ,3143225344.00 ,3196198912.00 ,3192537088.00 ,3195609088.00 ,3207864320.00 ,3297071104.00 ,3242242048.00 ,,38543163392.00 
0:21:30,9368924160.00 ,3249119232.00 ,3313242112.00 ,3142508544.00 ,3192946688.00 ,3203256320.00 ,3219279872.00 ,3207913472.00 ,3327180800.00 ,3238694912.00 ,,38463066112.00 
